Caseno/ Bail Ref no,BailStatus,HORef,StatusOfBail,DecisionDate,Final Bail Outcome,Destruction Date(if any),Last Comment,,,,,,,,,"SELECT t.caseno, t.amount, ac.Bailtype,Year(ac.DateReceived) as BailYear, max(s.CaseStatus) as BailStatus,max(s.CaseStatus)MAXID, max(h.comment) as Comment"
GW/00866,,,,,,Aug-23,,,,,,,,,,
GW/00882,,,,,,Aug-23,,,,,,,,,,
GW/00857,,,,,,Aug-23,,,,,,,,,,
GW/00349,,,,,,Aug-23,,,,,,,,,,
GW/00681,,,,,,Aug-23,,,,,,,,,,
GL/00083,,,,,,Aug-23,,,,,,,,,,
GW/00270,,,,,,Aug-23,,,,,,,,,,
GL/00204,,,,,,Aug-23,,,,,,,,,,
GL/00260,,,,,,Aug-23,,,,,,,,,,
GW/00739,,,,,,Aug-23,,,,,,,,,,
GW/00204,,,,,,Aug-23,,,,,,,,,,
GW/00902,,,,,,Sep-23,,,,,,,,,,
GW/00639,,,,,,Sep-23,,,,,,,,,,
GW/00748,,,,,,Sep-23,,,,,,,,,,
GW/00310,,,,,,Sep-23,,,,,,,,,,
GW/00278,,,,,,Sep-23,,,,,,,,,,
GW/00462,,,,,,Sep-23,,,,,,,,,,
GW/00897,,,,,,Sep-23,,,,,,,,,,
GW/00235,,,,,,Sep-23,,,,,,,,,,
GW/00236,,,,,,Sep-23,,,,,,,,,,
GW/00827,,,,,,Sep-23,,,,,,,,,,
GW/00769,,,,,,Sep-23,,,,,,,,,,
GW/00772,,,,,,Sep-23,,,,,,,,,,
GL/00211,,,,,,Sep-23,,,,,,,,,,
GW/00901,,,,,,Sep-23,,,,,,,,,,
GL/00148,,,,,,Sep-23,,,,,,,,,,
GW/00900,,,,,,Sep-23,,,,,,,,,,
GW/00336,,,,,,Sep-23,,,,,,,,,,
GW/00221,,,,,,Sep-23,,,,,,,,,,
GW/00702,,,,,,Sep-23,,,,,,,,,,
GW/00820,,,,,,Oct-23,,,,,,,,,,
GW/00638,,,,,,Oct-23,,,,,,,,,,
GW/00934,,,,,,Oct-23,,,,,,,,,,
GW/00826,,,,,,Oct-23,,,,,,,,,,
GW/00548,,,,,,Oct-23,,,,,,,,,,
GW/00657,,,,,,Oct-23,,,,,,,,,,
GW/00758,,,,,,Oct-23,,,,,,,,,,
GW/00867,,,,,,Oct-23,,,,,,,,,,
GL/00238,,,,,,Oct-23,,,,,,,,,,
GW/00823,,,,,,Oct-23,,,,,,,,,,
GW/00764,,,,,,Nov-23,,,,,,,,,,
GW/00905,,,,,,Nov-23,,,,,,,,,,
GW/00933,,,,,,Nov-23,,,,,,,,,,
GW/00318,,,,,,Nov-23,,,,,,,,,,
BE/00066,,,,,,Nov-23,,,,,,,,,,
GL/00291,,,,,,Nov-23,,,,,,,,,,
GW/00903,,,,,,Nov-23,,,,,,,,,,
GW/00312,,,,,,Nov-23,,,,,,,,,,
GW/00383,,,,,,Dec-23,,,,,,,,,,
GL/06498,,,,,,Dec-23,,,,,,,,,,
GW/00886,,,,,,Dec-23,,,,,,,,,,
GW/00936,,,,,,Dec-23,,,,,,,,,,
GL/00210,,,,,,Dec-23,,,,,,,,,,
GW/00841,,,,,,Dec-23,,,,,,,,,,
GW/00923,,,,,,Jan-24,,,,,,,,,,
GW/00794,,,,,,Jan-24,,,,,,,,,,
GW/00601,,,,,,Jan-24,,,,,,,,,,
GL/00215,,,,,,Jan-24,,,,,,,,,,
GW/00947,,,,,,Jan-24,,,,,,,,,,
GW/00939,,,,,,Jan-24,,,,,,,,,,
GW/07244,,,,,,Jan-24,,,,,,,,,,
GW/01013,,,,,,Feb-24,,,,,,,,,,
GW/00137,,,,,,Feb-24,,,,,,,,,,
GL/00288,,,,,,Feb-24,,,,,,,,,,
GW/00951,,,,,,Feb-24,,,,,,,,,,
GW/00876,,,,,,Feb-24,,,,,,,,,,
GW/00431,,,,,,Feb-24,,,,,,,,,,
GW/00863,,,,,,Feb-24,,,,,,,,,,
GW/00193,,,,,,Feb-24,,,,,,,,,,
GL/00216,,,,,,Feb-24,,,,,,,,,,
GW/00301,,,,,,Feb-24,,,,,,,,,,
GW/00980,,,,,,Feb-24,,,,,,,,,,
GW/00910,,,,,,Feb-24,,,,,,,,,,
GW/00377,,,,,,Feb-24,,,,,,,,,,
GW/00637,,,,,,Mar-24,,,,,,,,,,
GW/01044,,,,,,Mar-24,,,,,,,,,,
GW/00380,,,,,,Mar-24,,,,,,,,,,
GW/00385,,,,,,Mar-24,,,,,,,,,,
GW/00135,,,,,,Mar-24,,,,,,,,,,
GL/00087,,,,,,Mar-24,,,,,,,,,,
GW/00952,,,,,,Mar-24,,,,,,,,,,
GW/00213,,,,,,Mar-24,,,,,,,,,,
GL/00299,,,,,,Mar-24,,,,,,,,,,
GW/01026,,,,,,Mar-24,,,,,,,,,,
GW/01002,,,,,,Mar-24,,,,,,,,,,
GW/00775,,,,,,Apr-24,,,,,,,,,,
GW/00181,,,,,,Apr-24,,,,,,,,,,
GW/00692,,,,,,Apr-24,,,,,,,,,,
GW/00465,,,,,,Apr-24,,,,,,,,,,
GW/00131,,,,,,Apr-24,,,,,,,,,,
GW/00264,,,,,,Apr-24,,,,,,,,,,
GW/00487,,,,,,Apr-24,,,,,,,,,,
GW/00971,,,,,,Apr-24,,,,,,,,,,
GW/00441,,,,,,Apr-24,,,,,,,,,,
GW/00802,,,,,,Apr-24,,,,,,,,,,
GW/00600,,,,,,Apr-24,,,,,,,,,,
GW/00797,,,,,,Apr-24,,,,,,,,,,
GW/00869,,,,,,Apr-24,,,,,,,,,,
GW/00829,,,,,,Apr-24,,,,,,,,,,
GW/00459,,,,,,Apr-24,,,,,,,,,,
GW/05212,,,,,,Apr-24,,,,,,,,,,
GL/00206,,,,,,Apr-24,,,,,,,,,,
GW/00994,,,,,,Apr-24,,,,,,,,,,
GW/00324,,,,,,Apr-24,,,,,,,,,,
HC/03394,,,,,,May-24,,,,,,,,,,
GW/00915,,,,,,May-24,,,,,,,,,,
GW/00834,,,,,,May-24,,,,,,,,,,
GW/01062,,,,,,May-24,,,,,,,,,,
GW/00297,,,,,,May-24,,,,,,,,,,
GW/00478,,,,,,May-24,,,,,,,,,,
GW/01059,,,,,,May-24,,,,,,,,,,
GL/00188,,,,,,May-24,,,,,,,,,,
GW/00387,,,,,,May-24,,,,,,,,,,
GW/00281,,,,,,May-24,,,,,,,,,,
GW/00534,,,,,,May-24,,,,,,,,,,
GW/00149,,,,,,May-24,,,,,,,,,,
GL/00154,,,,,,May-24,,,,,,,,,,
GW/00824,,,,,,May-24,,,,,,,,,,
GW/00754,,,,,,May-24,,,,,,,,,,
GW/00172,,,,,,May-24,,,,,,,,,,
GW/00358,,,,,,Jun-24,,,,,,,,,,
GW/00807,,,,,,Jun-24,,,,,,,,,,
GW/00719,,,,,,Jun-24,,,,,,,,,,
GW/01111,,,,,,Jun-24,,,,,,,,,,
GW/00789,,,,,,Jun-24,,,,,,,,,,
GW/00475,,,,,,Jun-24,,,,,,,,,,
GW/00982,,,,,,Jun-24,,,,,,,,,,
GW/00716,,,,,,Jun-24,,,,,,,,,,
GW/00366,,,,,,Jun-24,,,,,,,,,,
TY/01974,,,,,,Jun-24,,,,,,,,,,
GW/00512,,,,,,Jul-24,,,,,,,,,,
GW/00993,,,,,,Jul-24,,,,,,,,,,
GW/00514,,,,,,Jul-24,,,,,,,,,,
GW/00942,,,,,,Jul-24,,,,,,,,,,
GW/00248,,,,,,Jul-24,,,,,,,,,,
GW/00519,,,,,,Jul-24,,,,,,,,,,
GW/00836,,,,,,Jul-24,,,,,,,,,,
GL/00145,,,,,,Jul-24,,,,,,,,,,
GW/00298,,,,,,Jul-24,,,,,,,,,,
GW/00192,,,,,,Jul-24,,,,,,,,,,
GW/01129,,,,,,Jul-24,,,,,,,,,,
GL/00196,,,,,,Jul-24,,,,,,,,,,
TY/02250,,,,,,Aug-24,,,,,,,,,,
GW/00302,,,,,,Aug-24,,,,,,,,,,
GW/01131,,,,,,Aug-24,,,,,,,,,,
GW/01161,,,,,,Aug-24,,,,,,,,,,
GW/00999,,,,,,Aug-24,,,,,,,,,,
GW/00162,,,,,,Sep-24,,,,,,,,,,
GW/00761,,,,,,Sep-24,,,,,,,,,,
GW/00927,,,,,,Sep-24,,,,,,,,,,
GL/00183,,,,,,Sep-24,,,,,,,,,,
GW/01083,,,,,,Sep-24,,,,,,,,,,
GW/01157,,,,,,Sep-24,,,,,,,,,,
GW/00283,,,,,,Sep-24,,,,,,,,,,
GW/01172,,,,,,Sep-24,,,,,,,,,,
GW/01139,,,,,,Sep-24,,,,,,,,,,
GW/00983,,,,,,Sep-24,,,,,,,,,,
GW/00256,,,,,,Sep-24,,,,,,,,,,
GW/00376,,,,,,Sep-24,,,,,,,,,,
GW/01092,,,,,,Sep-24,,,,,,,,,,
GL/00190,,,,,,Oct-24,,,,,,,,,,
GW/00958,,,,,,Oct-24,,,,,,,,,,
GW/01056,,,,,,Oct-24,,,,,,,,,,
GW/01094,,,,,,Oct-24,,,,,,,,,,
GW/00311,,,,,,Oct-24,,,,,,,,,,
GW/00678,,,,,,Oct-24,,,,,,,,,,
HC/04145,,,,,,Oct-24,,,,,,,,,,
GL/00252,,,,,,Oct-24,,,,,,,,,,
GW/01027,,,,,,Oct-24,,,,,,,,,,
GW/00935,,,,,,Oct-24,,,,,,,,,,
GW/00346,,,,,,Oct-24,,,,,,,,,,
GW/00701,,,,,,Nov-24,,,,,,,,,,
GL/00214,,,,,,Nov-24,,,,,,,,,,
GW/03113,,,,,,Nov-24,,,,,,,,,,
