Caseno/ Bail Ref no,BailStatus,HORef,StatusOfBail,DecisionDate,Final Bail Outcome,Destruction Date(if any),Last Comment,,,,,,,,,"SELECT t.caseno, t.amount, ac.Bailtype,Year(ac.DateReceived) as BailYear, max(s.CaseStatus) as BailStatus,max(s.CaseStatus)MAXID, max(h.comment) as Comment"
GW/03126,,,,,,Sep-32,,,,,,,,,,
GW/04210,,,,,,Sep-32,,,,,,,,,,
GW/03964,,,,,,Sep-32,,,,,,,,,,
GW/04078,,,,,,Sep-32,,,,,,,,,,
GW/07439,,,,,,Sep-32,,,,,,,,,,
GW/04264,,,,,,Oct-32,,,,,,,,,,
GW/04377,,,,,,Oct-32,,,,,,,,,,
GW/04242,,,,,,Oct-32,,,,,,,,,,
GW/04228,,,,,,Oct-32,,,,,,,,,,
GW/04409,,,,,,Oct-32,,,,,,,,,,
GW/04396,,,,,,Oct-32,,,,,,,,,,
BB/01687,,,,,,Oct-32,,,,,,,,,,
GW/03185,,,,,,Oct-32,Read only access on ARIA,,,,,,,,,
GW/04911,,,,,,Oct-32,,,,,,,,,,
GW/02383,,,,,,Oct-32,,,,,,,,,,
GW/04493,,,,,,Oct-32,,,,,,,,,,
GW/04208,,,,,,Oct-32,,,,,,,,,,
GP/00413,,,,,,Oct-32,,,,,,,,,,
GW/04405,,,,,,Nov-32,,,,,,,,,,
GW/04431,,,,,,Nov-32,,,,,,,,,,
GW/02790,,,,,,Nov-32,,,,,,,,,,
GW/04447,,,,,,Nov-32,,,,,,,,,,
GW/03877,,,,,,Nov-32,,,,,,,,,,
GW/04425,,,,,,Nov-32,,,,,,,,,,
GW/04399,,,,,,Nov-32,,,,,,,,,,
GW/00157,,,,,,Nov-32,,,,,,,,,,
GW/02971,,,,,,Nov-32,,,,,,,,,,
GW/07281,,,,,,Nov-32,,,,,,,,,,
GW/04509,,,,,,Dec-32,,,,,,,,,,
GW/04226,,,,,,Dec-32,,,,,,,,,,
GW/04470,,,,,,Dec-32,,,,,,,,,,
GW/03937,,,,,,Jan-33,,,,,,,,,,
GW/01241,,,,,,Jan-33,,,,,,,,,,
GW/04423,,,,,,Jan-33,,,,,,,,,,
GW/04516,,,,,,Jan-33,,,,,,,,,,
GW/04434,,,,,,Jan-33,,,,,,,,,,
GW/04400,,,,,,Jan-33,,,,,,,,,,
GW/04120,,,,,,Jan-33,,,,,,,,,,
BW/00005,,,,,,Jan-33,,,,,,,,,,
GW/04417,,,,,,Jan-33,,,,,,,,,,
GW/04522,,,,,,Jan-33,,,,,,,,,,
GW/04282,,,,,,Jan-33,,,,,,,,,,
GW/04651,,,,,,Feb-33,,,,,,,,,,
GW/04527,,,,,,Feb-33,,,,,,,,,,
GW/04534,,,,,,Feb-33,,,,,,,,,,
GW/04406,,,,,,Feb-33,,,,,,,,,,
GP/00091,,,,,,Mar-33,,,,,,,,,,
GW/04452,,,,,,Mar-33,,,,,,,,,,
GW/04370,,,,,,Mar-33,,,,,,,,,,
GW/04653,,,,,,Mar-33,,,,,,,,,,
GW/04482,,,,,,Mar-33,,,,,,,,,,
GW/03608,,,,,,Mar-33,,,,,,,,,,
GW/04250,,,,,,Mar-33,,,,,,,,,,
GW/04298,,,,,,Mar-33,,,,,,,,,,
GW/04574,,,,,,Mar-33,,,,,,,,,,
GW/04591,,,,,,Mar-33,,,,,,,,,,
GW/04499,,,,,,Mar-33,,,,,,,,,,
BH/05141,,,,,,Mar-33,,,,,,,,,,
GW/03833,,,,,,Apr-33,,,,,,,,,,
GW/02478,,,,,,Apr-33,,,,,,,,,,
GW/04603,,,,,,Apr-33,,,,,,,,,,
GW/04407,,,,,,Apr-33,,,,,,,,,,
GW/04661,,,,,,Apr-33,,,,,,,,,,
GW/04564,,,,,,Apr-33,,,,,,,,,,
GW/04635,,,,,,Apr-33,,,,,,,,,,
GW/04615,,,,,,Apr-33,,,,,,,,,,
GW/04598,,,,,,Apr-33,,,,,,,,,,
GW/04520,,,,,,Apr-33,,,,,,,,,,
GW/04624,,,,,,May-33,,,,,,,,,,
GW/04669,,,,,,May-33,,,,,,,,,,
GW/04671,,,,,,May-33,,,,,,,,,,
GW/04656,,,,,,May-33,,,,,,,,,,
TY/07355,,,,,,May-33,,,,,,,,,,
TY/14034,,,,,,May-33,,,,,,,,,,
GW/04558,,,,,,May-33,,,,,,,,,,
GW/04759,,,,,,May-33,,,,,,,,,,
GW/04560,,,,,,Jun-33,,,,,,,,,,
GW/04077,,,,,,Jun-33,,,,,,,,,,
GW/04708,,,,,,Jun-33,,,,,,,,,,
GW/04372,,,,,,Jun-33,,,,,,,,,,
GW/04471,,,,,,Jun-33,,,,,,,,,,
GW/04596,,,,,,Jun-33,,,,,,,,,,
GW/04659,,,,,,Jun-33,,,,,,,,,,
GW/03976,,,,,,Jun-33,,,,,,,,,,
BH/05333,,,,,,Jun-33,,,,,,,,,,
GW/07396,,,,,,Jun-33,,,,,,,,,,
PE/01202,,,,,,Jul-33,,,,,,,,,,
GW/04576,,,,,,Jul-33,,,,,,,,,,
GW/04476,,,,,,Jul-33,,,,,,,,,,
GP/00372,,,,,,Jul-33,,,,,,,,,,
GW/04816,,,,,,Aug-33,,,,,,,,,,
GW/04650,,,,,,Aug-33,,,,,,,,,,
GW/04831,,,,,,Aug-33,,,,,,,,,,
GW/04007,,,,,,Aug-33,,,,,,,,,,
GW/04535,,,,,,Aug-33,,,,,,,,,,
PE/01132,,,,,,Aug-33,,,,,,,,,,
GW/04797,,,,,,Aug-33,,,,,,,,,,
GW/04088,,,,,,Sep-33,,,,,,,,,,
GW/04982,,,,,,Sep-33,,,,,,,,,,
HC/13927,,,,,,Sep-33,,,,,,,,,,
GW/04820,,,,,,Sep-33,,,,,,,,,,
GW/04523,,,,,,Sep-33,,,,,,,,,,
GW/04778,,,,,,Sep-33,,,,,,,,,,
GW/04728,,,,,,Sep-33,,,,,,,,,,
GW/04926,,,,,,Sep-33,,,,,,,,,,
GW/04971,,,,,,Sep-33,,,,,,,,,,
GW/04877,,,,,,Sep-33,,,,,,,,,,
GW/04597,,,,,,Sep-33,,,,,,,,,,
GW/04900,,,,,,Sep-33,,,,,,,,,,
GW/00179,,,,,,Oct-33,,,,,,,,,,
GW/04177,,,,,,Oct-33,,,,,,,,,,
GW/04870,,,,,,Oct-33,,,,,,,,,,
GW/05020,,,,,,Oct-33,,,,,,,,,,
GW/04726,,,,,,Oct-33,,,,,,,,,,
GW/04678,,,,,,Oct-33,,,,,,,,,,
GW/05008,,,,,,Oct-33,,,,,,,,,,
GW/05046,,,,,,Oct-33,,,,,,,,,,
GW/04723,,,,,,Oct-33,,,,,,,,,,
GW/04436,,,,,,Oct-33,,,,,,,,,,
GW/05007,,,,,,Oct-33,,,,,,,,,,
GW/04912,,,,,,Oct-33,,,,,,,,,,
GW/04545,,,,,,Nov-33,,,,,,,,,,
GW/04600,,,,,,Nov-33,,,,,,,,,,
TY/15345,,,,,,Nov-33,,,,,,,,,,
GW/04779,,,,,,Nov-33,,,,,,,,,,
GW/04151,,,,,,Nov-33,,,,,,,,,,
BH/02638,,,,,,Nov-33,,,,,,,,,,
GW/04868,,,,,,Dec-33,,,,,,,,,,
GW/04689,,,,,,Dec-33,,,,,,,,,,
GW/01860,,,,,,Dec-33,,,,,,,,,,
GW/05118,,,,,,Dec-33,,,,,,,,,,
GW/04910,,,,,,Dec-33,,,,,,,,,,
GW/05149,,,,,,Dec-33,,,,,,,,,,
HC/06922,,,,,,Dec-33,,,,,,,,,,
GW/04677,,,,,,Jan-34,,,,,,,,,,
GW/05177,,,,,,Jan-34,,,,,,,,,,
GW/04946,,,,,,Jan-34,,,,,,,,,,
GW/04342,,,,,,Jan-34,,,,,,,,,,
GW/05158,,,,,,Jan-34,,,,,,,,,,
GW/07244,,,,,,Jan-34,,,,,,,,,,
GW/04488,,,,,,Feb-34,,,,,,,,,,
GW/05041,,,,,,Feb-34,,,,,,,,,,
GW/05095,,,,,,Feb-34,,,,,,,,,,
GW/05099,,,,,,Feb-34,,,,,,,,,,
GW/05096,,,,,,Feb-34,,,,,,,,,,
GW/05098,,,,,,Feb-34,,,,,,,,,,
GW/05127,,,,,,Feb-34,,,,,,,,,,
GW/05037,,,,,,Feb-34,,,,,,,,,,
GW/05071,,,,,,Feb-34,,,,,,,,,,
GW/05182,,,,,,Feb-34,,,,,,,,,,
GW/05017,,,,,,Mar-34,,,,,,,,,,
GW/05162,,,,,,Mar-34,,,,,,,,,,
GW/04764,,,,,,Mar-34,,,,,,,,,,
GW/05243,,,,,,Mar-34,,,,,,,,,,
GW/04987,,,,,,Mar-34,,,,,,,,,,
GW/04259,,,,,,Mar-34,,,,,,,,,,
GW/04756,,,,,,Mar-34,,,,,,,,,,
GW/05258,,,,,,Mar-34,,,,,,,,,,
GW/04113,,,,,,Mar-34,,,,,,,,,,
CH/02651,,,,,,Mar-34,,,,,,,,,,
GW/04964,,,,,,Mar-34,,,,,,,,,,
HT/02356,,,,,,Apr-34,,,,,,,,,,
GW/04657,,,,,,Apr-34,,,,,,,,,,
GW/05143,,,,,,Apr-34,,,,,,,,,,
GW/05146,,,,,,Apr-34,,,,,,,,,,
GW/04424,,,,,,Apr-34,,,,,,,,,,
GW/04632,,,,,,Apr-34,,,,,,,,,,
GW/05199,,,,,,Apr-34,,,,,,,,,,
HT/01916,,,,,,Apr-34,,,,,,,,,,
GW/05273,,,,,,Apr-34,,,,,,,,,,
GW/05114,,,,,,May-34,,,,,,,,,,
GW/05204,,,,,,May-34,,,,,,,,,,
GW/05268,,,,,,May-34,,,,,,,,,,
GW/05102,,,,,,May-34,,,,,,,,,,
GW/05111,,,,,,May-34,,,,,,,,,,
GW/05190,,,,,,May-34,,,,,,,,,,
GW/05189,,,,,,May-34,,,,,,,,,,
GW/05211,,,,,,May-34,,,,,,,,,,
GW/05124,,,,,,May-34,,,,,,,,,,
GW/04809,,,,,,Jun-34,,,,,,,,,,
GW/05210,,,,,,Jun-34,,,,,,,,,,
GW/05087,,,,,,Jun-34,,,,,,,,,,
GW/05097,,,,,,Jun-34,,,,,,,,,,
GW/05218,,,,,,Jun-34,,,,,,,,,,
GW/05388,,,,,,Jun-34,,,,,,,,,,
GW/05085,,,,,,Jul-34,,,,,,,,,,
GW/05202,,,,,,Jul-34,,,,,,,,,,
GW/05304,,,,,,Aug-34,,,,,,,,,,
GW/05299,,,,,,Aug-34,,,,,,,,,,
GW/04508,,,,,,Aug-34,,,,,,,,,,
GW/04189,,,,,,Sep-34,,,,,,,,,,
GW/05362,,,,,,Sep-34,,,,,,,,,,
GW/05447,,,,,,Sep-34,,,,,,,,,,
GW/05139,,,,,,Sep-34,,,,,,,,,,
GW/05320,,,,,,Sep-34,,,,,,,,,,
GW/04202,,,,,,Oct-34,,,,,,,,,,
GW/05224,,,,,,Oct-34,,,,,,,,,,
GW/05548,,,,,,Oct-34,,,,,,,,,,
GW/04602,,,,,,Oct-34,,,,,,,,,,
GW/05237,,,,,,Oct-34,,,,,,,,,,
GW/05537,,,,,,Oct-34,,,,,,,,,,
GW/04131,,,,,,Oct-34,,,,,,,,,,
GW/05206,,,,,,Nov-34,,,,,,,,,,
GW/05565,,,,,,Nov-34,,,,,,,,,,
PE/01017,,,,,,Nov-34,,,,,,,,,,
GW/05449,,,,,,Dec-34,,,,,,,,,,
GW/05570,,,,,,Dec-34,,,,,,,,,,
GW/05466,,,,,,Dec-34,,,,,,,,,,
GW/05353,,,,,,Dec-34,,,,,,,,,,
GW/05501,,,,,,Dec-34,,,,,,,,,,
GW/05518,,,,,,Dec-34,,,,,,,,,,
GW/05509,,,,,,Dec-34,,,,,,,,,,
GW/05402,,,,,,Jan-35,,,,,,,,,,
GW/05563,,,,,,Jan-35,,,,,,,,,,
GW/05106,,,,,,Jan-35,,,,,,,,,,
GW/04745,,,,,,Jan-35,,,,,,,,,,
GW/05279,,,,,,Jan-35,,,,,,,,,,
GW/05618,,,,,,Jan-35,,,,,,,,,,
GW/05398,,,,,,Jan-35,,,,,,,,,,
GW/05350,,,,,,Feb-35,,,,,,,,,,
GW/05471,,,,,,Feb-35,,,,,,,,,,
GW/05499,,,,,,Mar-35,,,,,,,,,,
GW/05365,,,,,,Mar-35,,,,,,,,,,
GW/05142,,,,,,Mar-35,,,,,,,,,,
GW/05443,,,,,,Mar-35,,,,,,,,,,
GW/05384,,,,,,Mar-35,,,,,,,,,,
GW/05741,,,,,,Mar-35,,,,,,,,,,
GW/05724,,,,,,Mar-35,,,,,,,,,,
GW/05205,,,,,,Apr-35,,,,,,,,,,
GW/05760,,,,,,Apr-35,,,,,,,,,,
GW/05783,,,,,,Apr-35,,,,,,,,,,
GW/05738,,,,,,May-25,,,,,,,,,,
GW/05568,,,,,,May-35,,,,,,,,,,
GW/04504,,,,,,May-35,,,,,,,,,,
GW/03917,,,,,,May-35,,,,,,,,,,
GW/05580,,,,,,May-35,,,,,,,,,,
PE/01182,,,,,,May-35,,,,,,,,,,
GW/05821,,,,,,May-35,,,,,,,,,,
GW/05651,,,,,,May-35,,,,,,,,,,
GW/05802,,,,,,Jun-35,,,,,,,,,,
GW/05457,,,,,,Jun-35,,,,,,,,,,
GW/05833,,,,,,Jun-35,,,,,,,,,,
GW/05778,,,,,,Jun-35,,,,,,,,,,
GW/05693,,,,,,Jun-35,,,,,,,,,,
GW/03120,,,,,,Jun-35,,,,,,,,,,
GW/05758,,,,,,Jun-35,,,,,,,,,,
GW/05749,,,,,,Jun-35,,,,,,,,,,
GW/05515,,,,,,Jun-35,,,,,,,,,,
GW/04428,,,,,,Jun-35,,,,,,,,,,
GW/03307,,,,,,Jul-35,,,,,,,,,,
GW/04744,,,,,,Jul-35,,,,,,,,,,
GW/04885,,,,,,Jul-35,,,,,,,,,,
GW/05572,,,,,,Jul-35,,,,,,,,,,
GW/05610,,,,,,Jul-35,,,,,,,,,,
GW/05662,,,,,,Jul-35,,,,,,,,,,
GW/05453,,,,,,Jul-35,,,,,,,,,,
TY/15701,,,,,,Jul-35,,,,,,,,,,
GW/05955,,,,,,Aug-35,,,,,,,,,,
HT/03422,,,,,,Aug-35,,,,,,,,,,
GW/05356,,,,,,Aug-35,,,,,,,,,,
GW/05873,,,,,,Aug-35,,,,,,,,,,
HT/03172,,,,,,Aug-35,,,,,,,,,,
GW/05419,,,,,,Aug-35,,,,,,,,,,
GW/05133,,,,,,Aug-35,,,,,,,,,,
GW/05594,,,,,,Aug-35,,,,,,,,,,
PE/01547,,,,,,Sep-35,,,,,,,,,,
GW/05999,,,,,,Sep-35,,,,,,,,,,
GW/05901,,,,,,Sep-35,,,,,,,,,,
GW/05934,,,,,,Sep-35,,,,,,,,,,
GW/04948,,,,,,Sep-35,,,,,,,,,,
GW/05755,,,,,,Sep-35,,,,,,,,,,
GW/05764,,,,,,Sep-35,,,,,,,,,,
GW/05530,,,,,,Sep-35,,,,,,,,,,
GW/05757,,,,,,Sep-35,,,,,,,,,,
PE/01007,,,,,,Sep-35,,,,,,,,,,
GW/05678,,,,,,Sep-35,,,,,,,,,,
GW/05617,,,,,,Sep-35,,,,,,,,,,
GW/05752,,,,,,Oct-35,,,,,,,,,,
GW/05847,,,,,,Oct-35,,,,,,,,,,
GW/05357,,,,,,Oct-35,,,,,,,,,,
GW/05837,,,,,,Oct-35,,,,,,,,,,
GW/06067,,,,,,Oct-35,,,,,,,,,,
GW/05844,,,,,,Oct-35,,,,,,,,,,
GW/05699,,,,,,Oct-35,,,,,,,,,,
GW/05987,,,,,,Oct-35,,,,,,,,,,
PE/01405,,,,,,Oct-35,,,,,,,,,,
GW/04521,,,,,,Oct-35,,,,,,,,,,
GW/06057,,,,,,Nov-35,,,,,,,,,,
GW/05834,,,,,,Nov-35,,,,,,,,,,
GW/05322,,,,,,Nov-35,,,,,,,,,,
GW/05933,,,,,,Nov-35,,,,,,,,,,
GW/04521,,,,,,Nov-35,,,,,,,,,,
HC/17482,,,,,,Nov-35,,,,,,,,,,
GW/06061,,,,,,Dec-35,,,,,,,,,,
HC/17810,,,,,,Dec-35,,,,,,,,,,
GW/05936,,,,,,Dec-35,,,,,,,,,,
GW/06002,,,,,,Dec-35,,,,,,,,,,
GW/05927,,,,,,Jan-36,,,,,,,,,,
GW/06048,,,,,,Jan-36,,,,,,,,,,
GW/06007,,,,,,Jan-36,,,,,,,,,,
GW/05876,,,,,,Jan-36,,,,,,,,,,
GW/05951,,,,,,Jan-36,,,,,,,,,,
GW/06010,,,,,,Jan-36,,,,,,,,,,
GW/06018,,,,,,Jan-36,,,,,,,,,,
GW/06085,,,,,,Jan-36,,,,,,,,,,
GW/05736,,,,,,Jan-36,,,,,,,,,,
GW/06063,,,,,,Feb-36,,,,,,,,,,
GW/05921,,,,,,Feb-36,,,,,,,,,,
BH/05989,,,,,,Feb-36,,,,,,,,,,
GW/06060,,,,,,Feb-36,,,,,,,,,,
GW/06074,,,,,,Feb-36,,,,,,,,,,
GW/06042,,,,,,Feb-36,,,,,,,,,,
GW/04432,,,,,,Feb-36,,,,,,,,,,
GW/04610,,,,,,Mar-36,,,,,,,,,,
GW/06123,,,,,,Mar-36,,,,,,,,,,
GW/06204,,,,,,Mar-36,,,,,,,,,,
GW/05768,,,,,,Mar-36,,,,,,,,,,
GW/06194,,,,,,Mar-36,,,,,,,,,,
GW/04806,,,,,,Apr-36,,,,,,,,,,
GW/04806,,,,,,Apr-36,,,,,,,,,,
GW/06145,,,,,,Apr-36,,,,,,,,,,
GW/05200,,,,,,Apr-36,,,,,,,,,,
GW/04908,,,,,,Apr-36,,,,,,,,,,
GW/04808,,,,,,Apr-36,,,,,,,,,,
GW/05589,,,,,,Apr-36,,,,,,,,,,
GW/05682,,,,,,May-36,,,,,,,,,,
GW/06143,,,,,,May-36,,,,,,,,,,
GW/05953,,,,,,May-36,,,,,,,,,,
GW/06159,,,,,,May-36,,,,,,,,,,
GW/05918,,,,,,May-36,,,,,,,,,,
GW/05589,,,,,,May-36,,,,,,,,,,
GW/05956,,,,,,Jun-36,,,,,,,,,,
GW/06110,,,,,,Jun-36,,,,,,,,,,
GW/05797,,,,,,Jun-36,,,,,,,,,,
GW/01291,,,,,,Jun-36,,,,,,,,,,
GW/05809,,,,,,Jun-36,,,,,,,,,,
GW/05952,,,,,,Jun-36,,,,,,,,,,
GW/05500,,,,,,Jun-36,,,,,,,,,,
GW/06001,,,,,,Jun-36,,,,,,,,,,
GW/06203,,,,,,Jun-36,,,,,,,,,,
GW/05958,,,,,,Jun-36,,,,,,,,,,
GW/06195,,,,,,Jun-36,,,,,,,,,,
GW/06035,,,,,,Jul-36,,,,,,,,,,
GW/06021,,,,,,Jul-36,,,,,,,,,,
GW/05436,,,,,,Jul-36,,,,,,,,,,
GW/05904,,,,,,Jul-36,,,,,,,,,,
GW/06233,,,,,,Jul-36,,,,,,,,,,
TY/04672,,,,,,Jul-36,,,,,,,,,,
GW/05207,,,,,,Aug-36,,,,,,,,,,
GW/06179,,,,,,Aug-36,,,,,,,,,,
GW/06158,,,,,,Aug-36,,,,,,,,,,
GW/06045,,,,,,Aug-36,,,,,,,,,,
GW/05849,,,,,,Aug-36,,,,,,,,,,
GW/06147,,,,,,Aug-36,,,,,,,,,,
GW/06281,,,,,,Sep-36,,,,,,,,,,
NS/00060,,,,,,Sep-36,,,,,,,,,,
GW/05175,,,,,,Oct-36,,,,,,,,,,
GW/06220,,,,,,Oct-36,,,,,,,,,,
HT/03893,,,,,,Oct-36,,,,,,,,,,
GW/05986,,,,,,Oct-36,,,,,,,,,,
GW/05247,,,,,,Oct-36,,,,,,,,,,
GW/05947,,,,,,Oct-36,,,,,,,,,,
GW/06171,,,,,,Oct-36,,,,,,,,,,
GW/05720,,,,,,Oct-36,,,,,,,,,,
GW/06218,,,,,,Oct-36,,,,,,,,,,
GW/05900,,,,,,Oct-36,,,,,,,,,,
GW/05964,,,,,,Oct-36,,,,,,,,,,
GW/05872,,,,,,Oct-36,,,,,,,,,,
GW/05623,,,,,,Nov-36,,,,,,,,,,
GW/04474,,,,,,Nov-36,,,,,,,,,,
GW/06103,,,,,,Nov-36,,,,,,,,,,
GW/06008,,,,,,Nov-36,,,,,,,,,,
GW/06169,,,,,,Nov-36,,,,,,,,,,
GW/05622,,,,,,Nov-36,,,,,,,,,,
GW/06353,,,,,,Dec-36,,,,,,,,,,
HC/17798,,,,,,Dec-36,,,,,,,,,,
GW/05470,,,,,,Dec-36,,,,,,,,,,
GW/06398,,,,,,Dec-36,,,,,,,,,,
GW/06366,,,,,,Dec-36,,,,,,,,,,
TY/20082,,,,,,Dec-36,,,,,,,,,,
GW/06295,,,,,,Dec-36,,,,,,,,,,
GW/06073,,,,,,Dec-36,,,,,,,,,,
GW/06302,,,,,,Dec-36,,,,,,,,,,
TY/07295,,,,,,Dec-36,,,,,,,,,,
GW/05267,,,,,,Dec-36,,,,,,,,,,
GW/06299,,,,,,Dec-36,,,,,,,,,,
GW/06287,,,,,,Dec-36,,,,,,,,,,
GW/06305,,,,,,Dec-36,,,,,,,,,,
GW/06072,,,,,,Dec-36,,,,,,,,,,
GW/05416,,,,,,Dec-36,,,,,,,,,,
GW/06314,,,,,,Dec-36,,,,,,,,,,
GW/05009,,,,,,Dec-36,,,,,,,,,,
GW/05892,,,,,,Dec-36,,,,,,,,,,
GW/05767,,,,,,Jan-37,,,,,,,,,,
GW/05712,,,,,,Jan-37,,,,,,,,,,
HC/18721,,,,,,Jan-37,,,,,,,,,,
GW/06393,,,,,,Jan-37,,,,,,,,,,
GW/06304,,,,,,Jan-37,,,,,,,,,,
GW/06539,,,,,,Jan-37,,,,,,,,,,
PE/01480,,,,,,Jan-37,,,,,,,,,,
GW/06415,,,,,,Jan-37,,,,,,,,,,
BH/06758,,,,,,Jan-37,,,,,,,,,,
GW/06367,,,,,,Jan-37,,,,,,,,,,
GW/05924,,,,,,Jan-37,,,,,,,,,,
GW/06401,,,,,,Feb-37,,,,,,,,,,
GW/06419,,,,,,Feb-37,,,,,,,,,,
GW/06423,,,,,,Feb-37,,,,,,,,,,
GW/06384,,,,,,Feb-37,,,,,,,,,,
GW/06403,,,,,,Feb-37,,,,,,,,,,
GW/06352,,,,,,Mar-37,,,,,,,,,,
GW/06510,,,,,,Mar-37,,,,,,,,,,
GW/06470,,,,,,Mar-37,,,,,,,,,,
GW/04249,,,,,,Mar-37,,,,,,,,,,
GW/06445,,,,,,Mar-37,,,,,,,,,,
GW/06409,,,,,,Mar-37,,,,,,,,,,
GW/06161,,,,,,Mar-37,,,,,,,,,,
GW/06452,,,,,,Mar-37,,,,,,,,,,
GW/06455,,,,,,Mar-37,,,,,,,,,,
GW/05222,,,,,,Mar-37,,,,,,,,,,
GW/06454,,,,,,Mar-37,,,,,,,,,,
GW/06448,,,,,,Mar-37,,,,,,,,,,
GW/06466,,,,,,Mar-37,,,,,,,,,,
BH/07205,,,,,,Apr-37,,,,,,,,,,
BH/07206,,,,,,Apr-37,,,,,,,,,,
GW/06489,,,,,,Apr-37,,,,,,,,,,
GW/06541,,,,,,Apr-37,,,,,,,,,,
GW/06442,,,,,,Apr-37,,,,,,,,,,
GW/06197,,,,,,Apr-37,,,,,,,,,,
GW/06446,,,,,,Apr-37,,,,,,,,,,
GW/05475,,,,,,Apr-37,,,,,,,,,,
GW/06492,,,,,,Apr-37,,,,,,,,,,
GW/06397,,,,,,Apr-37,,,,,,,,,,
GW/06478,,,,,,Apr-37,,,,,,,,,,
GW/06549,,,,,,May-37,,,,,,,,,,
GW/06548,,,,,,May-37,,,,,,,,,,
GW/04331,,,,,,May-37,,,,,,,,,,
GW/06496,,,,,,May-37,,,,,,,,,,
GW/06551,,,,,,May-37,,,,,,,,,,
GW/06187,,,,,,May-37,,,,,,,,,,
BW/00004,,,,,,Jun-37,,,,,,,,,,
GW/06558,,,,,,Jun-37,,,,,,,,,,
GW/06532,,,,,,Jun-37,,,,,,,,,,
GW/06519,,,,,,Jun-37,,,,,,,,,,
GW/06509,,,,,,Jun-37,,,,,,,,,,
GW/05270,,,,,,Jun-37,,,,,,,,,,
GW/06485,,,,,,Jun-37,,,,,,,,,,
GW/06651,,,,,,Jun-37,,,,,,,,,,
GW/05481,,,,,,Jul-37,,,,,,,,,,
PE/02083,,,,,,Jul-37,,,,,,,,,,
GW/06517,,,,,,Jul-37,,,,,,,,,,
GW/06579,,,,,,Jul-37,,,,,,,,,,
GW/06275,,,,,,Jul-37,,,,,,,,,,
GW/06623,,,,,,Jul-37,,,,,,,,,,
GW/06585,,,,,,Jul-37,,,,,,,,,,
GW/04644,,,,,,Jul-37,,,,,,,,,,
GW/06593,,,,,,Jul-37,,,,,,,,,,
GW/06358,,,,,,Jul-37,,,,,,,,,,
GW/06358,,,,,,Jul-37,,,,,,,,,,
GW/06692,,,,,,Jul-37,,,,,,,,,,
GW/06583,,,,,,Jul-37,,,,,,,,,,
GW/06592,,,,,,Jul-37,,,,,,,,,,
GW/06672,,,,,,Jul-37,,,,,,,,,,
GW/05313,,,,,,Jul-37,,,,,,,,,,
GW/06271,,,,,,Jul-37,,,,,,,,,,
GW/06546,,,,,,Jul-37,,,,,,,,,,
GW/06688,,,,,,Aug-37,,,,,,,,,,
TY/15936,,,,,,Aug-37,,,,,,,,,,
GW/06006,,,,,,Aug-37,,,,,,,,,,
GW/02036,,,,,,Aug-37,,,,,,,,,,
GW/06602,,,,,,Aug-37,,,,,,,,,,
GW/06632,,,,,,Aug-37,,,,,,,,,,
GW/06528,,,,,,Aug-37,,,,,,,,,,
PE/01729,,,,,,Aug-37,,,,,,,,,,
GW/06687,,,,,,Aug-37,,,,,,,,,,
GW/06533,,,,,,Aug-37,,,,,,,,,,
GW/06301,,,,,,Aug-37,,,,,,,,,,
PE/01379,,,,,,Aug-37,,,,,,,,,,
GW/06708,,,,,,Aug-37,,,,,,,,,,
GW/06576,,,,,,Aug-37,,,,,,,,,,
GW/05912,,,,,,Sep-37,,,,,,,,,,
GW/06807,,,,,,Sep-37,,,,,,,,,,
GW/05628,,,,,,Sep-37,,,,,,,,,,
GW/06611,,,,,,Sep-37,,,,,,,,,,
GW/06774,,,,,,Sep-37,,,,,,,,,,
GW/06677,,,,,,Sep-37,,,,,,,,,,
GW/05743,,,,,,Oct-37,,,,,,,,,,
GW/06822,,,,,,Oct-37,,,,,,,,,,
GW/05997,,,,,,Nov-37,,,,,,,,,,
GW/06721,,,,,,Nov-37,,,,,,,,,,
GW/06706,,,,,,Nov-37,,,,,,,,,,
GW/06605,,,,,,Nov-37,,,,,,,,,,
GW/06600,,,,,,Nov-37,,,,,,,,,,
GW/06628,,,,,,Nov-37,,,,,,,,,,
GW/06726,,,,,,Nov-37,,,,,,,,,,
GW/06598,,,,,,Nov-37,,,,,,,,,,
GW/06626,,,,,,Nov-37,,,,,,,,,,
GW/06439,,,,,,Nov-37,,,,,,,,,,
GW/06892,,,,,,Nov-37,,,,,,,,,,
GW/06676,,,,,,Nov-37,,,,,,,,,,
GW/06771,,,,,,Nov-37,,,,,,,,,,
GW/06727,,,,,,Nov-37,,,,,,,,,,
GW/06739,,,,,,Nov-37,,,,,,,,,,
GW/06182,,,,,,Dec-37,,,,,,,,,,
GW/06753,,,,,,Dec-37,,,,,,,,,,
GW/06723,,,,,,Dec-37,,,,,,,,,,
GW/06186,,,,,,Dec-37,,,,,,,,,,
GW/06359,,,,,,Dec-37,,,,,,,,,,
GW/04319,,,,,,Jan-38,,,,,,,,,,
GW/06801,,,,,,Jan-38,,,,,,,,,,
GW/06698,,,,,,Jan-38,,,,,,,,,,
GW/06784,,,,,,Jan-38,,,,,,,,,,
GW/06720,,,,,,Jan-38,,,,,,,,,,
GW/06738,,,,,,Jan-38,,,,,,,,,,
GW/06921,,,,,,Jan-38,,,,,,,,,,
